Program,exam_score,,,AVERAGE EXAM,,TOP 1 PERCENTAGE,,TOP 3 PERCENTAGE,,MEDIAN,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_ry_inGap_3_.qasm,0.714285714,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.5,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.928571429,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.928571429,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.428571429,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_3_.qasm,0.285714286,,0.297619048,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_4_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_5_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_7_.qasm,0.714285714,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_8_.qasm,0.357142857,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_3_.qasm,0.428571429,,0.3,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_4_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_5_.qasm,0.285714286,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_7_.qasm,0.571428571,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_3_.qasm,0.785714286,,0.392857143,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_4_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_5_.qasm,0.357142857,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_6_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_7_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_8_.qasm,0.785714286,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_3_.qasm,0.071428571,,0.071428571,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_4_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_5_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_6_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_7_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_1_.qasm,0.285714286,,0.404761905,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_2_.qasm,0.714285714,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_9_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_3_.qasm,0.285714286,,0.369047619,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_4_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_5_.qasm,0.857142857,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_6_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_7_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_8_.qasm,0.642857143,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,0.214285714,,0.19047619,,,,,,,,,,,,,,,,,,
