Program,exam_score,,AVERAGE BY GATE,,AVERAGE,,MEDIAN,,TOP 1,,TOP 3,,,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_x_inGap_42_.qasm,0.098039216,,,,,,,,0.808602516,,,,,,,,,,,,,,,
AddGate_x_inGap_43_.qasm,0.450980392,,,,,,,,0.440103799,,,,,,,,,,,,,,,
AddGate_x_inGap_44_.qasm,0.68627451,,,,,,,,0.417167058,,,,,,,,,,,,,,,
AddGate_x_inGap_45_.qasm,0.019607843,,,,,,,,0.655678456,,,,,,,,,,,,,,,
AddGate_x_inGap_46_.qasm,0.549019608,,,,,,,,0.264112117,,,,,,,,,,,,,,,
AddGate_x_inGap_47_.qasm,0.019607843,,,,,,,,0.443915561,,,,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.941176471,,0.395721925,,,,,,0.246368192,,,,,,,,,,,,,,,
AddGate_y_inGap_11_.qasm,0.705882353,,,,,,,,0.584304327,,,,,,,,,,,,,,,
AddGate_y_inGap_12_.qasm,0.176470588,,,,,,,,0.660268364,,,,,,,,,,,,,,,
AddGate_y_inGap_13_.qasm,0.058823529,,,,,,,,0.844078674,,,,,,,,,,,,,,,
AddGate_y_inGap_14_.qasm,0.37254902,,,,,,,,0.788146199,,,,,,,,,,,,,,,
AddGate_y_inGap_15_.qasm,0.235294118,,,,,,,,0.336966057,,,,,,,,,,,,,,,
AddGate_y_inGap_16_.qasm,0.411764706,,,,,,,,0.725957943,,,,,,,,,,,,,,,
AddGate_y_inGap_17_.qasm,0.568627451,,,,,,,,0.334795157,,,,,,,,,,,,,,,
AddGate_y_inGap_18_.qasm,0.117647059,,,,,,,,0.993410542,,,,,,,,,,,,,,,
AddGate_y_inGap_19_.qasm,0.549019608,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.921568627,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_20_.qasm,0.294117647,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_21_.qasm,0.098039216,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_22_.qasm,0.509803922,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_23_.qasm,0.176470588,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_24_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_25_.qasm,0.509803922,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_26_.qasm,0.411764706,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_27_.qasm,0.921568627,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_28_.qasm,0.215686275,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_29_.qasm,0.31372549,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.725490196,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_30_.qasm,0.450980392,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_31_.qasm,0.019607843,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_32_.qasm,0.901960784,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_33_.qasm,0.156862745,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_34_.qasm,0.039215686,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_35_.qasm,0.450980392,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_36_.qasm,0.764705882,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_37_.qasm,0.941176471,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_38_.qasm,0.921568627,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_39_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.549019608,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_40_.qasm,0.568627451,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_41_.qasm,0.294117647,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_42_.qasm,0.823529412,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_43_.qasm,0.039215686,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_44_.qasm,0.176470588,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_45_.qasm,0.058823529,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_46_.qasm,0.019607843,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_47_.qasm,0.019607843,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_48_.qasm,0.490196078,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_49_.qasm,0.019607843,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.666666667,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_50_.qasm,0.156862745,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_51_.qasm,0.019607843,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_52_.qasm,0.098039216,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_53_.qasm,0.039215686,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_54_.qasm,0.019607843,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_55_.qasm,0.196078431,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.156862745,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.647058824,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_7_.qasm,0.960784314,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_8_.qasm,0.941176471,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.254901961,,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_37_.qasm,0.745098039,,0.294117647,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_38_.qasm,0.450980392,,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_39_.qasm,0.078431373,,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_40_.qasm,0.039215686,,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_41_.qasm,0.235294118,,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_42_.qasm,0.215686275,,,,,,,,,,,,,,,,,,,,,,,
