Program,path_to_mutant,exam_score
AddGate_rx_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.06666666666666667
AddGate_h_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.3333333333333333
AddGate_rz_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.06666666666666667
AddGate_sx_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.06666666666666667
AddGate_cswap_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.6666666666666666
AddGate_h_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.06666666666666667
AddGate_x_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.2
AddGate_cx_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.7333333333333333
AddGate_y_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.26666666666666666
AddGate_sx_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.06666666666666667
AddGate_p_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_dj_5_qubits/,0.8
