Program,path_to_mutant,exam_score
AddGate_ry_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.4230769230769231
AddGate_ccx_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.7692307692307693
AddGate_z_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_sx_inGap_29_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.11538461538461539
AddGate_rxx_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_p_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_x_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.19230769230769232
AddGate_h_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.2692307692307692
AddGate_y_inGap_25_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_rzz_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_sx_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_rx_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.3076923076923077
AddGate_cz_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.5384615384615384
AddGate_h_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.46153846153846156
AddGate_s_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_cz_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.2692307692307692
AddGate_p_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.11538461538461539
AddGate_x_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.15384615384615385
AddGate_x_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_s_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_swap_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_rzz_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.11538461538461539
AddGate_swap_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.4230769230769231
AddGate_t_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_y_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.4230769230769231
AddGate_ry_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.23076923076923078
AddGate_s_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.34615384615384615
AddGate_cz_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.15384615384615385
AddGate_p_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.9615384615384616
AddGate_cx_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.19230769230769232
AddGate_cx_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_cx_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_rx_inGap_25_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_swap_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_s_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.11538461538461539
AddGate_rzz_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.3076923076923077
AddGate_cswap_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.9615384615384616
AddGate_rzz_inGap_25_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_rx_inGap_26_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_y_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.23076923076923078
AddGate_sx_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_rxx_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.34615384615384615
AddGate_cswap_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.23076923076923078
AddGate_y_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_sx_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.15384615384615385
AddGate_x_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_x_inGap_28_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_cz_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.23076923076923078
AddGate_rz_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_s_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.15384615384615385
AddGate_s_inGap_24_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_y_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.23076923076923078
AddGate_rxx_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.9230769230769231
AddGate_rxx_inGap_17_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.8846153846153846
AddGate_ry_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.19230769230769232
AddGate_cx_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_y_inGap_28_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_y_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_ry_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.19230769230769232
AddGate_rzz_inGap_24_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_rxx_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.3076923076923077
AddGate_rz_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_cx_inGap_17_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.2692307692307692
AddGate_rx_inGap_24_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_p_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_z_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_swap_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_t_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.19230769230769232
AddGate_y_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.11538461538461539
AddGate_rx_inGap_27_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.15384615384615385
AddGate_s_inGap_25_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_y_inGap_27_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_y_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.5
AddGate_rzz_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.6538461538461539
AddGate_y_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.3076923076923077
AddGate_swap_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.46153846153846156
AddGate_h_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.5769230769230769
AddGate_rz_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.19230769230769232
AddGate_z_inGap_24_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_rzz_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.4230769230769231
AddGate_rz_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_cswap_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.8076923076923077
AddGate_swap_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_ccx_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.6923076923076923
AddGate_sx_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.15384615384615385
AddGate_y_inGap_30_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_s_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_s_inGap_17_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.3076923076923077
