Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.0476),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_rxx_inGap_18_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_rxx_inGap_19_.qasm,0.523809524,0.523809524,0.523809524,,,,,,,,,,,,
AddGate_rxx_inGap_1_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_rxx_inGap_20_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_rxx_inGap_2_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_rxx_inGap_3_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_rxx_inGap_6_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_rxx_inGap_7_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rxx_inGap_8_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.095238095,0.095238095,0.095238095,,,,,,,,,,,,
AddGate_ry_inGap_10_.qasm,0.142857143,0.142857143,0.142857143,,RY,0.414285714,,,,,0.419047619,,,,
AddGate_ry_inGap_11_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_ry_inGap_12_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ry_inGap_13_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.571428571,0.619047619,0.595238095,,,,,,,,,,,,
AddGate_ry_inGap_16_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_ry_inGap_17_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ry_inGap_18_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_ry_inGap_19_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_ry_inGap_20_.qasm,0.523809524,0.571428571,0.547619048,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.095238095,0.095238095,0.095238095,,,,,,,,,,,,
