Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.04167),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_x_inGap_7_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_x_inGap_8_.qasm,0.291666667,0.291666667,0.291666667,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.125,0.125,0.125,,Y,0.255681818,,,,,0.259469697,,,,
AddGate_y_inGap_11_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_y_inGap_18_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_y_inGap_19_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_y_inGap_20_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_y_inGap_21_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_y_inGap_22_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_y_inGap_23_.qasm,0.083333333,0.125,0.104166667,,,,,,,,,,,,
AddGate_y_inGap_24_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_y_inGap_25_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_y_inGap_26_.qasm,0.625,0.625,0.625,,,,,,,,,,,,
AddGate_y_inGap_27_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_y_inGap_28_.qasm,0.75,0.791666667,0.770833333,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.708333333,0.708333333,0.708333333,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.416666667,0.416666667,0.416666667,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_y_inGap_7_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_y_inGap_8_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_z_inGap_18_.qasm,0.083333333,0.083333333,0.083333333,,Z,0.201388889,,,,,0.208333333,,,,
AddGate_z_inGap_19_.qasm,0.25,0.25,0.25,,,,,,,,,,,,
AddGate_z_inGap_20_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_z_inGap_21_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_z_inGap_22_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_z_inGap_23_.qasm,0.625,0.666666667,0.645833333,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rand,Best,Worst,,,,,,,,,,,,,
0.501241549,0.041666667,0.041666667,,,,,,,,,,,,,
0.000862002,0.25,0.25,,,,,,,,,,,,,
0.947044298,0.041666667,0.041666667,,,,,,,,,,,,,
0.17086215,0.166666667,0.166666667,,,,,,,,,,,,,
0.349036788,0.625,0.666666667,,,,,,,,,,,,,
0.295236283,0.083333333,0.083333333,,,,,,,,,,,,,
0.384260178,,,,,,,,,,,,,,,
0.378686037,,,,,,,,,,,,,,,
0.825789821,,,,,,,,,,,,,,,
0.867773964,,,,,,,,,,,,,,,
0.468685919,,,,,,,,,,,,,,,
0.550253039,,,,,,,,,,,,,,,
0.234365351,,,,,,,,,,,,,,,
0.260068005,,,,,,,,,,,,,,,
0.84108133,,,,,,,,,,,,,,,
0.872942741,,,,,,,,,,,,,,,
0.859130967,,,,,,,,,,,,,,,
0.868444204,,,,,,,,,,,,,,,
0.378301403,,,,,,,,,,,,,,,
0.531829277,,,,,,,,,,,,,,,
0.590742774,,,,,,,,,,,,,,,
0.040733635,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.25,0.25,,0.241666667,0.1875,0.2,0.466666667,,0.243055556,0.1875,0.2,0.433333333,,,
,0.291666667,0.291666667,,,,,,,,,,,,,
,0.541666667,0.541666667,,,,,,,,,,,,,
,0.791666667,0.791666667,,,,,,,,,,,,,
,0.083333333,0.083333333,,,,,,,,,,,,,
,0.041666667,0.041666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.083333333,0.083333333,,,,,,,,,,,,,
,0.041666667,0.041666667,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.125,0.125,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.041666667,0.041666667,,,,,,,,,,,,,
,0.083333333,0.083333333,,,,,,,,,,,,,
,0.708333333,0.708333333,,,,,,,,,,,,,
,0.541666667,0.541666667,,,,,,,,,,,,,
,0.125,0.125,,,,,,,,,,,,,
,0.125,0.166666667,,,,,,,,,,,,,
,0.375,0.375,,,,,,,,,,,,,
,0.083333333,0.083333333,,,,,,,,,,,,,
,0.208333333,0.208333333,,,,,,,,,,,,,
,0.375,0.375,,,,,,,,,,,,,
,0.25,0.25,,,,,,,,,,,,,
,0.041666667,0.041666667,,,,,,,,,,,,,
,0.375,0.375,,,,,,,,,,,,,
,0.416666667,0.416666667,,,,,,,,,,,,,
,0.083333333,0.083333333,,,,,,,,,,,,,
,0.041666667,0.041666667,,,,,,,,,,,,,
,0.25,0.25,,,,,,,,,,,,,
,0.041666667,0.041666667,,,,,,,,,,,,,
